series,update,position_policy_kl,family_policy_kl,positions,opening_families
Transformer original validation,1536,0.2160642147064209,0.15363192558288574,1387635.0,2811.0000240802765
Transformer original validation,1792,0.1959061622619629,0.14107704162597656,1387635.0,2811.0000240802765
Transformer original validation,2048,0.1899867057800293,0.13365888595581055,1387635.0,2811.0000240802765
Transformer original validation,2304,0.17577672004699707,0.12470531463623047,1387635.0,2811.0000240802765
Transformer original validation,2560,0.17129969596862793,0.11974763870239258,1387635.0,2811.0000240802765
Transformer original validation,2816,0.1586703062057495,0.11085700988769531,1387635.0,2811.0000240802765
Transformer original validation,3072,0.15398192405700684,0.10605311393737793,1387635.0,2811.0000240802765
Transformer original validation,3328,0.14669060707092285,0.10159492492675781,1387635.0,2811.0000240802765
Transformer original validation,3584,0.14057660102844238,0.09820413589477539,1387635.0,2811.0000240802765
Transformer original validation,3840,0.13576197624206543,0.0948326587677002,1387635.0,2811.0000240802765
Transformer original validation,4096,0.1348280906677246,0.09425640106201172,1387635.0,2811.0000240802765
Transformer original training probe,0,2.057708740234375,1.9403717517852783,388049.0,2204.999973297119
Transformer original training probe,256,0.4165881872177124,0.4246695041656494,388049.0,2204.999973297119
Transformer original training probe,512,0.2927287817001343,0.3109142780303955,388049.0,2204.999973297119
Transformer original training probe,768,0.2384723424911499,0.2570006847381592,388049.0,2204.999973297119
Transformer original training probe,1024,0.19514310359954834,0.21495747566223145,388049.0,2204.999973297119
Transformer original training probe,1280,0.16969025135040283,0.18949317932128906,388049.0,2204.999973297119
Transformer original training probe,1536,0.15348517894744873,0.17335748672485352,388049.0,2204.999973297119
Transformer original training probe,1792,0.13899242877960205,0.15793466567993164,388049.0,2204.999973297119
Transformer original training probe,2048,0.1288999319076538,0.1481165885925293,388049.0,2204.999973297119
Transformer original training probe,2304,0.11905443668365479,0.13692688941955566,388049.0,2204.999973297119
Transformer original training probe,2560,0.11188101768493652,0.12978899478912354,388049.0,2204.999973297119
Transformer original training probe,2816,0.10169112682342529,0.11955475807189941,388049.0,2204.999973297119
Transformer original training probe,3072,0.09577047824859619,0.11330342292785645,388049.0,2204.999973297119
Transformer original training probe,3328,0.09029531478881836,0.10725295543670654,388049.0,2204.999973297119
Transformer original training probe,3584,0.08596324920654297,0.10245335102081299,388049.0,2204.999973297119
Transformer original training probe,3840,0.08200335502624512,0.09840059280395508,388049.0,2204.999973297119
Transformer original training probe,4096,0.08057081699371338,0.09651613235473633,388049.0,2204.999973297119
Transformer scale 0.01 validation,0,2.209754228591919,1.7189083099365234,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,256,0.47974681854248047,0.3488023281097412,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,512,0.3582472801208496,0.25653791427612305,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,768,0.2996562719345093,0.21257734298706055,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,1024,0.2663034200668335,0.19160223007202148,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,1280,0.23368263244628906,0.16547513008117676,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,1536,0.21024274826049805,0.15140366554260254,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,1792,0.19989585876464844,0.14438390731811523,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,2048,0.1825019121170044,0.1302196979522705,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,2304,0.1760547161102295,0.12477707862854004,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,2560,0.16518354415893555,0.11738896369934082,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,2816,0.16050922870635986,0.11228775978088379,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,3072,0.15403437614440918,0.10594773292541504,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,3328,0.14619314670562744,0.10112690925598145,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,3584,0.14052104949951172,0.09773039817810059,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,3840,0.1355912685394287,0.09459066390991211,1387635.0,2811.0000240802765
Transformer scale 0.01 validation,4096,0.13112306594848633,0.0927116870880127,1387635.0,2811.0000240802765
Transformer scale 0.01 training probe,0,2.0609264373779297,1.9432647228240967,388049.0,2204.999973297119
Transformer scale 0.01 training probe,256,0.40351951122283936,0.41179394721984863,388049.0,2204.999973297119
Transformer scale 0.01 training probe,512,0.2822955846786499,0.3009605407714844,388049.0,2204.999973297119
Transformer scale 0.01 training probe,768,0.22517693042755127,0.2460477352142334,388049.0,2204.999973297119
Transformer scale 0.01 training probe,1024,0.19668149948120117,0.21800780296325684,388049.0,2204.999973297119
Transformer scale 0.01 training probe,1280,0.16778099536895752,0.1878819465637207,388049.0,2204.999973297119
Transformer scale 0.01 training probe,1536,0.15200412273406982,0.17114806175231934,388049.0,2204.999973297119
Transformer scale 0.01 training probe,1792,0.14216971397399902,0.1609206199645996,388049.0,2204.999973297119
Transformer scale 0.01 training probe,2048,0.1255803108215332,0.14446330070495605,388049.0,2204.999973297119
Transformer scale 0.01 training probe,2304,0.1182626485824585,0.13669133186340332,388049.0,2204.999973297119
Transformer scale 0.01 training probe,2560,0.10902631282806396,0.12677443027496338,388049.0,2204.999973297119
Transformer scale 0.01 training probe,2816,0.10239267349243164,0.120461106300354,388049.0,2204.999973297119
Transformer scale 0.01 training probe,3072,0.09509015083312988,0.11256420612335205,388049.0,2204.999973297119
Transformer scale 0.01 training probe,3328,0.08968102931976318,0.10635876655578613,388049.0,2204.999973297119
Transformer scale 0.01 training probe,3584,0.08502209186553955,0.10142850875854492,388049.0,2204.999973297119
Transformer scale 0.01 training probe,3840,0.08126890659332275,0.0975579023361206,388049.0,2204.999973297119
Transformer scale 0.01 training probe,4096,0.07888436317443848,0.09450829029083252,388049.0,2204.999973297119
