series,update,position_policy_kl,family_policy_kl,positions,opening_families
Transformer 1.5e-3 validation,3328,0.14859676361083984,0.10362362861633301,1387635.0,2811.0000240802765
Transformer 1.5e-3 validation,3584,0.142561674118042,0.0998847484588623,1387635.0,2811.0000240802765
Transformer 1.5e-3 validation,3840,0.13707280158996582,0.0966792106628418,1387635.0,2811.0000240802765
Transformer 1.5e-3 validation,4096,0.13475024700164795,0.0946967601776123,1387635.0,2811.0000240802765
Transformer 1.5e-3 training probe,0,2.0042386054992676,1.8734791278839111,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,256,0.4115031957626343,0.41758179664611816,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,512,0.27540743350982666,0.2920870780944824,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,768,0.22454023361206055,0.24365949630737305,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,1024,0.20259666442871094,0.22033047676086426,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,1280,0.17287588119506836,0.19203710556030273,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,1536,0.1695702075958252,0.18997669219970703,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,1792,0.14468729496002197,0.1636362075805664,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,2048,0.1313157081604004,0.14951872825622559,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,2304,0.12124931812286377,0.13932585716247559,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,2560,0.11289525032043457,0.13104736804962158,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,2816,0.10315239429473877,0.12066125869750977,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,3072,0.09634935855865479,0.1135094165802002,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,3328,0.09193384647369385,0.10916006565093994,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,3584,0.0877676010131836,0.10443437099456787,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,3840,0.08367681503295898,0.10009729862213135,388049.0,2204.999973297119
Transformer 1.5e-3 training probe,4096,0.08102703094482422,0.09708940982818604,388049.0,2204.999973297119
