label,split,turn,metric,value
CNN AdamW,training_probe,27,family_kl,1.7793576208701785
CNN AdamW,training_probe,27,value_mse,1.0626017029252648
CNN AdamW,training_probe,27,value_family_mse,1.1029085666634435
CNN AdamW,training_probe,36,expert_kl,1.6132595175185607
CNN AdamW,training_probe,36,family_kl,1.6899699384444853
CNN AdamW,training_probe,36,value_mse,0.6373090249108023
CNN AdamW,training_probe,36,value_family_mse,0.6478017977139443
CNN AdamW,training_probe,45,expert_kl,1.7700652584987813
CNN AdamW,training_probe,45,family_kl,1.8570311550642282
CNN AdamW,training_probe,45,value_mse,0.6756795289037643
CNN AdamW,training_probe,45,value_family_mse,0.6831750770082555
CNN AdamW,training_probe,54,expert_kl,1.3903014113465941
CNN AdamW,training_probe,54,family_kl,1.4634470369206314
CNN AdamW,training_probe,54,value_mse,0.629091378124971
CNN AdamW,training_probe,54,value_family_mse,0.6885603623811053
CNN AdamW,training_probe,63,expert_kl,1.3411061963883668
CNN AdamW,training_probe,63,family_kl,1.413800265401509
CNN AdamW,training_probe,63,value_mse,0.3601411244836537
CNN AdamW,training_probe,63,value_family_mse,0.3969816633404752
CNN AdamW,training_probe,72,expert_kl,1.2098386650354467
CNN AdamW,training_probe,72,family_kl,1.2752223035662689
CNN AdamW,training_probe,72,value_mse,0.2819213855830643
CNN AdamW,training_probe,72,value_family_mse,0.3120338391654744
CNN AdamW,training_probe,81,expert_kl,1.1460514334424952
CNN AdamW,training_probe,81,family_kl,1.2090785708433378
CNN AdamW,training_probe,81,value_mse,0.27895747987310554
CNN AdamW,training_probe,81,value_family_mse,0.3047528649493086
CNN AdamW,training_probe,90,expert_kl,1.0625675960125043
CNN AdamW,training_probe,90,family_kl,1.1249127246078063
CNN AdamW,training_probe,90,value_mse,0.23052635765682566
CNN AdamW,training_probe,90,value_family_mse,0.2568898693485099
CNN AdamW,training_probe,99,expert_kl,1.0156670839690753
CNN AdamW,training_probe,99,family_kl,1.0765038829114997
CNN AdamW,training_probe,99,value_mse,0.21806162285542566
CNN AdamW,training_probe,99,value_family_mse,0.24617246405414145
CNN AdamW,training_probe,108,expert_kl,0.9626995027259366
CNN AdamW,training_probe,108,family_kl,1.020517387242676
CNN AdamW,training_probe,108,value_mse,0.1563539840919417
CNN AdamW,training_probe,108,value_family_mse,0.17828109676047807
Transformer AdamW,validation,0,expert_kl,2.574227773046123
Transformer AdamW,validation,0,family_kl,2.6173902822268147
Transformer AdamW,validation,0,value_mse,0.9869587257683423
Transformer AdamW,validation,0,value_family_mse,0.9840257561523416
