arm,split,turn,learning_seconds,expert_kl,family_kl,value_mse,value_family_mse
cnn_adamw,training_probe_history,72,3745.7158162639826,1.2098386650354467,1.2752223035662689,0.2819213855830643,0.3120338391654744
cnn_adamw,training_probe_history,81,4222.2220061359985,1.1460514334424952,1.2090785708433378,0.27895747987310554,0.3047528649493086
cnn_adamw,training_probe_history,90,4675.615809835028,1.0625675960125043,1.1249127246078063,0.23052635765682566,0.2568898693485099
cnn_adamw,training_probe_history,99,5104.998083283048,1.0156670839690753,1.0765038829114997,0.21806162285542566,0.24617246405414145
cnn_adamw,training_probe_history,108,5534.319477667072,0.9626995027259366,1.020517387242676,0.1563539840919417,0.17828109676047807
transformer_mse,validation_history,0,0.0,2.574227773046123,2.6173902822268147,0.9869587257683423,0.9840257561523416
transformer_mse,validation_history,9,704.8095972490264,2.1167352623363995,2.1558080195553906,0.9215952005235116,0.9143266725636002
transformer_mse,validation_history,18,1410.2335117830662,1.5970490492139295,1.628323133264753,0.9216022512969859,0.9143333874270683
transformer_mse,validation_history,27,2079.957946541108,1.4292906965623131,1.4552629320619648,0.9216015709236697,0.9143328572126238
transformer_mse,validation_history,36,2713.787508531095,1.3676070635450537,1.3939672670226697,0.92160316656109,0.9143343055165091
transformer_mse,validation_history,45,3418.58208510009,1.272954094758767,1.2994294479792945,0.921601797714775,0.9143331027481719
transformer_mse,validation_history,54,4194.404796121089,1.2402478366720442,1.2647701054933167,0.9215787014705913,0.9143107483378347
transformer_mse,validation_history,63,4863.819392364065,1.16150536548877,1.1860942244729822,0.8883279584381324,0.8825506362267304
transformer_mse,validation_history,72,5533.149342980061,1.1233747501409992,1.147323876746393,0.6816976832122226,0.6819354501135605
transformer_mse,validation_history,81,6237.8480986530485,1.0920173483532114,1.1172105857904548,0.6108444646187732,0.6106840196198987
transformer_mse,validation_history,90,6907.755836197059,1.0516449191275878,1.0753118874377368,0.5545662416806543,0.55578590071684
transformer_mse,validation_history,99,7541.488911979046,0.9983444411296944,1.0216664126144748,0.5435126436689254,0.5445612965119591
transformer_mse,validation_history,108,8175.380675567052,0.9657131537026826,0.9889828128390126,0.5422333737658676,0.543563874179728
transformer_mse,training_probe_history,0,0.0,2.5193004423250467,2.6285187857491628,0.9784845889813557,0.9698127867683531
transformer_mse,training_probe_history,9,704.8095972490264,2.0852057549936736,2.183536166236514,0.9253744564699123,0.9127892085484096
transformer_mse,training_probe_history,18,1410.2335117830662,1.5607026365642969,1.6387656681121343,0.9253821246197179,0.9127962097289071
transformer_mse,training_probe_history,27,2079.957946541108,1.3996060751516475,1.4646472628154448,0.9253813796099026,0.9127955361018105
transformer_mse,training_probe_history,36,2713.787508531095,1.340724133549951,1.4071651034884982,0.9253829786553598,0.9127969590444414
